Team,Division,Games,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Princeton (Clockwork Orange),Women's,5,34,AMY TAI,,,,1,,
Princeton (Clockwork Orange),Women's,5,37,Nora Bradley,,,,,,
Princeton (Clockwork Orange),Women's,5,42,Amelia Hankla,,,,,,
Princeton (Clockwork Orange),Women's,5,69,Annie Chen,,,,2,,
Princeton (Clockwork Orange),Women's,5,77,GRACE HACK,,,,,,
Western Washington (Dirt),Men's,5,0,NAT BREW,,,2,,,
Western Washington (Dirt),Men's,5,0,ZHI CHEN,,"1'0""",5,4,,
Western Washington (Dirt),Men's,5,0,ADAM CHOI,,,,2,,
Western Washington (Dirt),Men's,5,0,WILLIAM COFFIN,,,7,4,,
Western Washington (Dirt),Men's,5,0,Dustin Diemond,,,,,,
Western Washington (Dirt),Men's,5,0,REGINALD ENG,,"5'7""",,,,
Western Washington (Dirt),Men's,5,0,Alexander Grey,,"5'10""",,,,
Western Washington (Dirt),Men's,5,0,SETH JOHNSON,,"5'10""",3,11,,
Western Washington (Dirt),Men's,5,0,JONAH JOLLEY,Defense (Cutter),"6'0""",1,1,,
Western Washington (Dirt),Men's,5,0,TUCKER JONAS,,,,,,
Western Washington (Dirt),Men's,5,0,ETHAN KATZ,Handler,,1,,,
Western Washington (Dirt),Men's,5,0,Joshua Kent,,"4'4""",2,1,,
Western Washington (Dirt),Men's,5,0,DANIEL LORIGAN,,"1'0""",,,,
Western Washington (Dirt),Men's,5,0,BRANDON MCNAMARA,Defense (Cutter),,1,,,
Western Washington (Dirt),Men's,5,0,Trevor McNamara,Defense (Cutter),,3,,,
Western Washington (Dirt),Men's,5,0,Christopher Penuelas,,,,,,
Western Washington (Dirt),Men's,5,0,Lucas Rabins,Mid,,,,,
Western Washington (Dirt),Men's,5,0,TIM SCHWISOW,Mid,"5'7""",13,3,,
Western Washington (Dirt),Men's,5,0,Nathan White,,"6'0""",1,,,
Western Washington (Dirt),Men's,5,2,SETH KOTZMAN,Mid,,1,4,,
Western Washington (Dirt),Men's,5,3,DENNIS CASIO,Handler,"6'4""",1,11,,
Western Washington (Dirt),Men's,5,13,AARON HADDELAND,Handler,,1,3,,
Western Washington (Dirt),Men's,5,22,MATT RUSSELL,Mid,,14,8,,
Western Washington (Dirt),Men's,5,77,ZACHERY  LAYCOCK,Mid,"5'11""",,,,
UCLA (BLU),Women's,5,2,MEGAN BECK,,,,,,
UCLA (BLU),Women's,5,3,Jamie Lam,Handler,,4,3,,
UCLA (BLU),Women's,5,4,Kristen Pojunis,,"5'7""",7,4,,
UCLA (BLU),Women's,5,5,Lauren Kean,,,1,,,
UCLA (BLU),Women's,5,7,KELLYANNE TANG,,,,1,,
UCLA (BLU),Women's,5,10,MELISSA KAN,,,3,3,,
UCLA (BLU),Women's,5,11,Sylvia Liang,,,6,,,
UCLA (BLU),Women's,5,13,ALEXIS WHITAKER,,,2,,,
UCLA (BLU),Women's,5,14,JULIA TANG,,,1,8,,
UCLA (BLU),Women's,5,15,Claire Simpson,,"5'2""",,,,
UCLA (BLU),Women's,5,16,ALYSSA WORSHAM,,,1,2,,
UCLA (BLU),Women's,5,17,MARGOT STERT,,"5'9""",4,12,,
UCLA (BLU),Women's,5,18,Camille Wilson,,,12,2,,
UCLA (BLU),Women's,5,19,Rachel Wilson,,"1'0""",,,,
UCLA (BLU),Women's,5,20,Vivian Griffey,,,,,,
UCLA (BLU),Women's,5,21,Kerrie Tonking,,"5'8""",,,,
UCLA (BLU),Women's,5,22,Caroline McKee,Defense (Cutter),"5'7""",1,,,
UCLA (BLU),Women's,5,23,BREANNA DIRKSE,,,4,1,,
UCLA (BLU),Women's,5,25,Han Chen,,"1'0""",11,20,,
UCLA (BLU),Women's,5,31,KATHLEEN LO,,"5'2""",1,4,,
UCLA (BLU),Women's,5,41,ANN LEE,,,6,2,,
UCLA (BLU),Women's,5,89,TIANA RANGCHI,,,,,,
UCLA (BLU),Women's,5,99,MARIA KAZANTSEV,,"5'10""",,2,,
Wisconsin (Hodags),Men's,5,0,BRIAN NOVOTNY,Defense (Cutter),"6'0""",4,,,
Wisconsin (Hodags),Men's,5,2,BRANAVAN YOGARAJAH,Defense (Cutter),,1,1,,
Wisconsin (Hodags),Men's,5,3,NICHOLAS VOGT,Mid,"6'1""",5,1,,
Wisconsin (Hodags),Men's,5,6,GORDON PETERSON,Handler,"1'0""",,,,
Wisconsin (Hodags),Men's,5,7,AVERY JOHNSON,Handler,"5'11""",1,4,,
Wisconsin (Hodags),Men's,5,9,ERIK JORGENSEN,Defense (Cutter),,1,,,
Wisconsin (Hodags),Men's,5,11,STERLING KNOCHE,Defense (Cutter),,3,3,,
Wisconsin (Hodags),Men's,5,12,CHRIS WILEN,Defense (Cutter),,7,5,,
Wisconsin (Hodags),Men's,5,13,DAVID YU,Defense (Handler),"5'9""",,1,,
Wisconsin (Hodags),Men's,5,14,WILLIAM KLUENDER,Mid,,8,2,,
Wisconsin (Hodags),Men's,5,16,DANIEL  STULIGROSS,Defense (Handler),"5'8""",1,3,,
Wisconsin (Hodags),Men's,5,17,Thomas GALLAGHER,Handler,"5'9""",,1,,
Wisconsin (Hodags),Men's,5,20,NICK ZEMAN,Defense (Cutter),,2,2,,
Wisconsin (Hodags),Men's,5,22,AARON SPEISS,Deep,"5'10""",4,7,,
Wisconsin (Hodags),Men's,5,23,GRAEME KERNICK,Handler,"6'0""",1,2,,
Wisconsin (Hodags),Men's,5,24,WALTER CAI,Defense (Cutter),"6'1""",1,1,,
Wisconsin (Hodags),Men's,5,25,ROSS BARKER,Deep,"5'11""",16,5,,
Wisconsin (Hodags),Men's,5,26,Eric von Kampen,Defense (Handler),"5'9""",2,,,
Wisconsin (Hodags),Men's,5,33,SHANE SADDISON-BRADFORD,Defense (Cutter),"6'2""",1,1,,
Wisconsin (Hodags),Men's,5,37,JAN SZMANDA,Defense (Handler),,1,,,
Wisconsin (Hodags),Men's,5,41,COLIN SUNDE,Mid,,2,8,,
Wisconsin (Hodags),Men's,5,44,NICHOLAS LADAS,Defense (Handler),,3,4,,
Wisconsin (Hodags),Men's,5,57,AUSTIN REIF,Defense (Handler),"5'10""",,1,,
Wisconsin (Hodags),Men's,5,84,CRAIG COX,Mid,"6'6""",2,14,,
Wisconsin (Hodags),Men's,5,99,BRANDON TAITT,Defense (Cutter),"6'0""",,,,
Washington (Element),Women's,5,0,BAILEY BONACI,,,1,2,,
Washington (Element),Women's,5,0,EDRIENNE  CHAN,,"5'4""",2,,,
Washington (Element),Women's,5,0,LIZ CONWAY,,"5'8""",,,,
Washington (Element),Women's,5,0,EMMA KAHLE,,"1'0""",2,18,,
Washington (Element),Women's,5,0,KRISTIN POINAR,,"1'0""",4,3,,
Washington (Element),Women's,5,0,EUGENIA PREZHDO,,,1,,,
Washington (Element),Women's,5,0,LAUREN SADLER,,"5'2""",3,17,,
Washington (Element),Women's,5,0,ANDREA WILLSON,,"1'0""",,,,
Washington (Element),Women's,5,0,TESSORA YOUNG,,"5'8""",13,2,,
Washington (Element),Women's,5,3,SAMANTHA HING,,,1,2,,
Washington (Element),Women's,5,11,NORA LANDRI,,,9,3,,
Washington (Element),Women's,5,13,Katie Meyer,,"5'6""",2,2,,
Washington (Element),Women's,5,14,Nicole Cramer,,"5'6""",5,1,,
Washington (Element),Women's,5,16,Kate Wilburn,,,,,,
Washington (Element),Women's,5,17,VICKIE SU,,"1'0""",3,2,,
Washington (Element),Women's,5,18,Allison Tjader,,"5'6""",1,,,
Washington (Element),Women's,5,20,Grace Noah,,"5'6""",10,2,,
Washington (Element),Women's,5,21,Camille Canter,,"5'7""",1,8,,
Washington (Element),Women's,5,22,SARAH EDWARDS,,,2,2,,
Washington (Element),Women's,5,37,BAILEY KILMER,,"1'0""",,,,
Washington (Element),Women's,5,99,NOELLE TAKAHASHI,,"5'6""",6,1,,
California-Santa Barbara (Black Tide),Men's,5,0,Mitchell Solkov,Defense (Cutter),"5'9""",,,,
California-Santa Barbara (Black Tide),Men's,5,1,Jeffrey Frye,Defense (Cutter),"5'8""",2,2,,
California-Santa Barbara (Black Tide),Men's,5,2,Jack Hamner,,"6'3""",2,1,,
California-Santa Barbara (Black Tide),Men's,5,3,MIKE SALE,,,1,1,,
California-Santa Barbara (Black Tide),Men's,5,4,Matt Daly,Defense (Cutter),,,2,,
California-Santa Barbara (Black Tide),Men's,5,5,IAN LADNER,,,1,2,,
California-Santa Barbara (Black Tide),Men's,5,6,Gabe Runte,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,5,7,PETER DENNIS,Defense (Cutter),"6'7""",1,,,
California-Santa Barbara (Black Tide),Men's,5,8,Bailey Wu,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,5,9,Michael Lee,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,5,10,SEAN SMITH,,,6,2,,
California-Santa Barbara (Black Tide),Men's,5,11,ADONAY BAHTA,Deep,,1,1,,
California-Santa Barbara (Black Tide),Men's,5,12,Brendan Champlin,Handler,"5'10""",1,,,
California-Santa Barbara (Black Tide),Men's,5,13,GRANT NOVINS,,,2,3,,
California-Santa Barbara (Black Tide),Men's,5,14,WILLIAM TURNER,,,5,4,,
California-Santa Barbara (Black Tide),Men's,5,15,Alex Heinzen,,,2,3,,
California-Santa Barbara (Black Tide),Men's,5,16,Nathan Ransom,,,2,,,
California-Santa Barbara (Black Tide),Men's,5,17,HUNTER  CORBETT,,,9,9,,
California-Santa Barbara (Black Tide),Men's,5,19,Evan Bosinger,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,5,20,HAAKON ELLINGBOE,,,1,,,
California-Santa Barbara (Black Tide),Men's,5,21,AIDAN HALL,Defense (Handler),,1,,,
California-Santa Barbara (Black Tide),Men's,5,22,ADAM FISCHER,,"6'0""",3,7,,
California-Santa Barbara (Black Tide),Men's,5,25,BRETT PLOUSSARD,,,6,5,,
California-Santa Barbara (Black Tide),Men's,5,28,KYLE RUBIN,,"5'11""",5,11,,
California-Santa Barbara (Black Tide),Men's,5,32,Kieran Bates,Defense (Cutter),,,1,,
California-Santa Barbara (Black Tide),Men's,5,34,Arthur Pan,Defense (Cutter),,,1,,
California-Santa Barbara (Black Tide),Men's,5,39,Jordan Lund,Defense (Handler),,,,,
California-Santa Barbara (Black Tide),Men's,5,87,TAYLOR ROBERTS,,,7,,,
Kansas (Betty Ultimate),Women's,5,0,Jordan Alonzo,,"5'6""",1,1,,
Kansas (Betty Ultimate),Women's,5,0,Mackenzie Burns,,,,,,
Kansas (Betty Ultimate),Women's,5,0,Annie Wangles,,,,,,
Kansas (Betty Ultimate),Women's,5,2,KATE ESHELMAN,,,4,5,,
Kansas (Betty Ultimate),Women's,5,4,McKenzie Ensminger,,,,,,
Kansas (Betty Ultimate),Women's,5,5,Katrina Kaus,,,9,,,
Kansas (Betty Ultimate),Women's,5,7,Malaina Piyassaphan,,,,,,
Kansas (Betty Ultimate),Women's,5,8,Lilly Bakker,,,2,,,
Kansas (Betty Ultimate),Women's,5,9,Brandi Schneider,,,3,,,
Kansas (Betty Ultimate),Women's,5,12,CLARE FRANTZ,,,,,,
Kansas (Betty Ultimate),Women's,5,13,CAMILLE CURLEY,,,1,,,
Kansas (Betty Ultimate),Women's,5,14,Kelsey Akin,,,9,5,,
Kansas (Betty Ultimate),Women's,5,16,Allison Showalter,,,,,,
Kansas (Betty Ultimate),Women's,5,17,CAITLIN FITZGERALD,,,4,17,,
Kansas (Betty Ultimate),Women's,5,17,Sydney Nelson,,,,,,
Kansas (Betty Ultimate),Women's,5,19,molly welsh,,"5'2""",,,,
Kansas (Betty Ultimate),Women's,5,20,NADINE ROWEN,,,,1,,
Kansas (Betty Ultimate),Women's,5,21,JORDAN KACZOR,,,1,,,
Kansas (Betty Ultimate),Women's,5,22,KAILEE KARR,,,14,10,,
Kansas (Betty Ultimate),Women's,5,23,ALEXA  KACZOR,,,5,3,,
Kansas (Betty Ultimate),Women's,5,24,Grace Roth,,,1,,,
Kansas (Betty Ultimate),Women's,5,25,Miriam Mechache,,,,,,
Kansas (Betty Ultimate),Women's,5,27,MEGAN BURNS,,,3,,,
Kansas (Betty Ultimate),Women's,5,29,Samantha Agranoff,,,,,,
Kansas (Betty Ultimate),Women's,5,31,JENNIFER CORCORAN,,,4,20,,
Kansas (Betty Ultimate),Women's,5,32,Titi Galeazzi,,,,,,
Kansas (Betty Ultimate),Women's,5,37,Stasha Beermann,,,,,,
Kansas (Betty Ultimate),Women's,5,42,Haley Williams,,,,,,
Kansas (Betty Ultimate),Women's,5,44,Claire Shanovich,,,,,,
Kansas (Betty Ultimate),Women's,5,45,JANIE REITER,,"5'10""",1,1,,
Cincinnati (Cincinnati Ultimate),Men's,5,,Nicholas Betsch,,,1,,,
Cincinnati (Cincinnati Ultimate),Men's,5,,ALEXANDER MARK,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,,Connor Messmore,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,,KEVIN PARKER,,"1'0""",,,,
Cincinnati (Cincinnati Ultimate),Men's,5,,Michael Raabe,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,,KYLE ROMARD,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,Ryan Adams,,"5'10""",3,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,SCOTT ALVERSON,,,9,5,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,JOSHUA FISHER,,"1'0""",,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,ALEX FLAMM,,,18,7,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,ZACHARY FORD,,"6'2""",3,5,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,STEPHEN KENNY,,"5'9""",,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,Nathan Lauback,,,1,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,Sophainara Long,,"5'7""",,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,JACOB TURNER,,"5'10""",1,,,
Cincinnati (Cincinnati Ultimate),Men's,5,0,ADAM TURNER,,"6'0""",6,5,,
Cincinnati (Cincinnati Ultimate),Men's,5,2,KIERAN KELLY,,"6'2""",8,13,,
Cincinnati (Cincinnati Ultimate),Men's,5,15,ZACHARY RADCLIFF,,"6'2""",1,,,
Cincinnati (Cincinnati Ultimate),Men's,5,21,DANIEL LATZ,,,1,15,,
Cincinnati (Cincinnati Ultimate),Men's,5,22,ZACHARY WARNER,,,2,4,,
Cincinnati (Cincinnati Ultimate),Men's,5,23,STEVEN KOLP,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,28,JOSHUA BRUGGEMAN,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,29,GRANT DINAN,,,1,,,
Cincinnati (Cincinnati Ultimate),Men's,5,31,GREGORY DINAN,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,5,33,JUSTIN LATZ,,,4,4,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Allison Aiello,,,3,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Laura Bashor,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,CLAIR BELTRAN,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,GRACE BENZ,,,2,6,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,REBECCA BERRY,,"5'9""",1,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Katherine Brown,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Jessica Brownschidle,,,3,2,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,RILEY EBEL,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ALY FASSETT-CARMAN,,,2,4,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Yasmine Fernald,,,1,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,CLARA GOTTESMAN,,,3,1,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Sofi Hecht,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,SARAH HEMPHILL,,,3,8,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Becca Holdhusen,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ANNA IGLITZIN,,"5'5""",1,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ISABEL JAMERSON,,,,3,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ANNA JINKS,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Nina Job,,,8,1,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ELLEN KERCHNER,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Addie Mahdavi,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,MAEVE MOYNIHAN,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Maggy Mulhern,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Andrea Narciso,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Kristina Ohl,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Jana Parsons,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ERIN REA,,,8,3,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Emma Ronai-Durning,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,HAYDEN SHEA,,,3,7,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Emily Sun,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,MARY Thomas,,,1,3,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,NATALIE VALENTIN,,,1,1,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,Malkie Wall,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,VIRGINIA WILTSHIRE-GORDON,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,5,0,ROSALIE WRIGHT-LAPIN,,,,,,
Cornell (Buds),Men's,5,0,PABLO AVILA,,,3,,,
Cornell (Buds),Men's,5,0,Francesco Bray,,"5'10""",,,,
Cornell (Buds),Men's,5,0,Peter DelNero,,,,,,
Cornell (Buds),Men's,5,0,Jake Dunoyer,,"5'11""",1,,,
Cornell (Buds),Men's,5,0,Wyatt Eberspacher,,,,,,
Cornell (Buds),Men's,5,0,Russell Gray,,,2,,,
Cornell (Buds),Men's,5,0,Evan Greenberg,,"1'0""",,,,
Cornell (Buds),Men's,5,0,Mikael Hammer,,"5'8""",3,,,
Cornell (Buds),Men's,5,0,AUSTIN HARTLEY,,,4,,,
Cornell (Buds),Men's,5,0,JACOB HERRERA,,"6'1""",,,,
Cornell (Buds),Men's,5,0,NICK JAMES,,"1'0""",,,,
Cornell (Buds),Men's,5,0,ETHAN KANNEL,,,,,,
Cornell (Buds),Men's,5,0,JOSHUA KLEIN,,"5'9""",,2,,
Cornell (Buds),Men's,5,0,Eliyahu Lehmann,,"5'10""",,,,
Cornell (Buds),Men's,5,0,FRANKLIN LI,,,3,9,,
Cornell (Buds),Men's,5,0,JAMES MCCLINTOCK,,"5'10""",3,3,,
Cornell (Buds),Men's,5,0,Christopher Perrotti,,,2,,,
Cornell (Buds),Men's,5,0,ROBERT RICKERT,,"6'2""",9,1,,
Cornell (Buds),Men's,5,0,Alex Semaca,,"6'1""",4,3,,
Cornell (Buds),Men's,5,0,JAY TAPPEN,,,,,,
Cornell (Buds),Men's,5,0,JOE THOMPSON,,"6'2""",5,14,,
Cornell (Buds),Men's,5,0,Carsten Thue-Bludworth,,,,,,
Cornell (Buds),Men's,5,0,ROBERT VANDER MEULEN,,"5'9""",2,2,,
Cornell (Buds),Men's,5,0,Yi Fan Wang,,,2,1,,
Cornell (Buds),Men's,5,0,DANIEL WEKSTEIN,,"6'2""",,4,,
Cornell (Buds),Men's,5,18,JOHN BRANCATO,Deep,"6'2""",,,,
Cornell (Buds),Men's,5,25,Jordan Diamond,Handler,,5,7,,
Cornell (Buds),Men's,5,88,NATE AUGUST,Deep,"6'2""",3,5,,
Notre Dame (Womb),Women's,5,4,ALEXANDRIA VAWTER,,,,,,
Notre Dame (Womb),Women's,5,5,KELSEY FINK,,"5'6""",1,15,,
Notre Dame (Womb),Women's,5,7,Amity Wipson,,,,,,
Notre Dame (Womb),Women's,5,8,Julia Butterfield,,,11,10,,
Notre Dame (Womb),Women's,5,10,Courtney Shreve,,,,,,
Notre Dame (Womb),Women's,5,11,MARA JURKOVIC,,,,,,
Notre Dame (Womb),Women's,5,15,Mary Andersen,,,16,2,,
Notre Dame (Womb),Women's,5,19,NICOLE VUJOSEVICH,,,,2,,
Notre Dame (Womb),Women's,5,21,BRIANNA BOCKER,,,,,,
Notre Dame (Womb),Women's,5,22,ELAINE ROSE,,,,,,
Notre Dame (Womb),Women's,5,24,HEATHER FREDRICKSON,,,,7,,
Notre Dame (Womb),Women's,5,28,DINA VU,,"5'5""",2,1,,
Notre Dame (Womb),Women's,5,29,Elizabeth Cichon,,,,,,
Notre Dame (Womb),Women's,5,33,Rachel Francis,,,1,1,,
Notre Dame (Womb),Women's,5,37,Mary Hermann,,"5'6""",1,1,,
Notre Dame (Womb),Women's,5,42,Marissa Ray,,,,,,
Notre Dame (Womb),Women's,5,46,AMALIA CARMONA,,,6,8,,
Notre Dame (Womb),Women's,5,61,Lauren Zurawski,,,,,,
Notre Dame (Womb),Women's,5,84,Sarah Lipscomb,,,10,4,,
Notre Dame (Womb),Women's,5,92,KRISTEN COLLINS,,,,,,
Maryland (Maryland Ultimate),Men's,5,1,ALAN BRANSON,Handler,,,,,
Maryland (Maryland Ultimate),Men's,5,2,DAVIDSON GIRARD,Handler,,7,6,,
Maryland (Maryland Ultimate),Men's,5,3,ERIC BIGGS,Handler,,3,1,,
Maryland (Maryland Ultimate),Men's,5,4,Matthew Smith,,,,,,
Maryland (Maryland Ultimate),Men's,5,5,SAMUEL BESSE,,,,,,
Maryland (Maryland Ultimate),Men's,5,7,LIAM TOAL,Mid,,4,4,,
Maryland (Maryland Ultimate),Men's,5,8,Sean Reischel,,"6'0""",,,,
Maryland (Maryland Ultimate),Men's,5,9,Thomas Kinton,,,,1,,
Maryland (Maryland Ultimate),Men's,5,10,NATE PASCALE,Deep,,2,3,,
Maryland (Maryland Ultimate),Men's,5,11,LUCAS DENIT,Deep,,,,,
Maryland (Maryland Ultimate),Men's,5,12,DOUGLAS LAVIN,Deep,,1,,,
Maryland (Maryland Ultimate),Men's,5,14,Maclean Keller,,"6'0""",,,,
Maryland (Maryland Ultimate),Men's,5,15,WILLIAM XU,,"1'0""",1,1,,
Maryland (Maryland Ultimate),Men's,5,16,John Walden,,"5'6""",11,,,
Maryland (Maryland Ultimate),Men's,5,17,THOMAS NOLL,Deep,,4,,,
Maryland (Maryland Ultimate),Men's,5,18,Christopher Bernard,,"6'2""",,,,
Maryland (Maryland Ultimate),Men's,5,19,GARRETT YUNG,Mid,,2,1,,
Maryland (Maryland Ultimate),Men's,5,20,CARL KINTON,Mid,,2,1,,
Maryland (Maryland Ultimate),Men's,5,21,MAX CASSELL,Handler,,3,5,,
Maryland (Maryland Ultimate),Men's,5,22,RYAN SWIFT,Deep,,8,1,,
Maryland (Maryland Ultimate),Men's,5,26,TIM KREUTZFELDT,,,6,10,,
Maryland (Maryland Ultimate),Men's,5,27,MYCO PAULO,,"5'6""",,,,
Maryland (Maryland Ultimate),Men's,5,28,ADRIAN CRAIG,,,,,,
Maryland (Maryland Ultimate),Men's,5,32,Eliot Fenton,,,2,,,
Maryland (Maryland Ultimate),Men's,5,33,MARK LIN,Deep,"5'11""",2,8,,
Maryland (Maryland Ultimate),Men's,5,42,SEAN MANNING,Deep,,,,,
Maryland (Maryland Ultimate),Men's,5,43,NATHAN PRIOR,Handler,,2,17,,
Maryland (Maryland Ultimate),Men's,5,49,ZACHARY ARGUELLES,Deep,"5'9""",,,,
Maryland (Maryland Ultimate),Men's,5,74,ANDREW CREIGHTON,Handler,,,,,
Pittsburgh (Danger),Women's,5,,KATELYN LOUGHERY,,"5'6""",3,7,,
Pittsburgh (Danger),Women's,5,0,Alyssa Campisi,,,,,,
Pittsburgh (Danger),Women's,5,0,DORA DANKO,,"5'6""",,,,
Pittsburgh (Danger),Women's,5,0,Gabrielle Doran,,,,,,
Pittsburgh (Danger),Women's,5,0,LAUREN FEDER,,"5'5""",,,,
Pittsburgh (Danger),Women's,5,0,Haley Grajewski,,"5'5""",2,,,
Pittsburgh (Danger),Women's,5,0,MARLA JACOBS,,"5'4""",5,4,,
Pittsburgh (Danger),Women's,5,0,Megan MacGillivray,,"5'6""",5,2,,
Pittsburgh (Danger),Women's,5,0,LINDA MORSE,,"5'10""",11,5,,
Pittsburgh (Danger),Women's,5,0,CAROLYN NORMILE,,"1'4""",1,17,,
Pittsburgh (Danger),Women's,5,0,CATERINA PAGANO,,"5'3""",,2,,
Pittsburgh (Danger),Women's,5,0,Sara Pike,,"5'3""",1,,,
Pittsburgh (Danger),Women's,5,0,Sarah Russek,,"5'6""",6,3,,
Pittsburgh (Danger),Women's,5,0,JESSICA  SHEEHAN,,"1'0""",3,1,,
Pittsburgh (Danger),Women's,5,0,VAUGHAN SKINKER,,"5'2""",2,1,,
Pittsburgh (Danger),Women's,5,0,Julia Strother,,"5'6""",,,,
Pittsburgh (Danger),Women's,5,0,GODA TARCIJONAS,,,2,,,
Pittsburgh (Danger),Women's,5,23,KATIE CLEVELAND,Handler,"5'2""",1,1,,
